current,replaceWith
ingredientcontainerpurpose,NA
frictionreducer,frictionreducer
corrosioninhibitor,inhibitor
acid,phcontrol
proppant,proppant
ironcontrol,inhibitor
carrier/basefluid,carrier
scalecontrol,inhibitor
biocide,biocide
scaleinhibitor,inhibitor
acidinhibitor,inhibitor
breaker,frictionreducer
gel,frictionreducer
bufferingagent,buffer
acidizing,phcontrol
non-ionicsurfactant,stabilizer
basefluid,carrier
liquidgelconcentrate,frictionreducer
crosslinker,crosslinker
buffer,buffer
phcontroladditive,buffer
concentrate,concentrate
non-emulsifier,stabilizer
resinactivator,activator
claystabilizer,stabilizer
surfactant&amp;foamer,stabilizer
claycontroladditives,stabilizer
bulkacid,phcontrol
activator,activator
solvent,stabilizer
bactericide,biocide
ironcontrolagent,inhibitor
proppant-natural,proppant
additive,other
gellingagent,frictionreducer
aqueousgellant,frictionreducer
gellingagents,frictionreducer
carrier,carrier
encapsulatedbreaker,frictionreducer
foamer/surfactant,stabilizer
sand,proppant
phcontrol,phcontrol
liquidbiocide,biocide
microbiocide,biocide
surfactant,stabilizer
crosslinker(plexlink204-s),crosslinker
liquidkclsubstitute,proppant
foamer,stabilizer
frac,NA
slurriedgellingagent,frictionreducer
fluidtracer,tracer
proppanttracer,tracer
inhibitor,inhibitor
inhibitorintensifier,inhibitor
phadjustingagent,phcontrol
delayedbreaker,breaker
diagnostics,tracer
salt,salt
enzymebreaker,breaker
dissolvescement&mineralsinperforations,inhibitor
protectscasing,inhibitor
addsviscositytofluid,frictionreducer
oxidizingbreaker,breaker
basecarrierfluid,carrier
gellingagent/thickener,frictionreducer
scaledissolver,inhibitor
productionenhancement,enhancer
ironcontroladditive,inhibitor
fecontrol,inhibitor
foamingagent,stabilizer
resin,stabilizer
water,carrier
hardener,stabilizer
hydrochloricacid,phcontrol
reagent,breaker
foamfluid,stabilizer
phbuffer,buffer
claycontrol,stabilizer
apbreaker,breaker
liquidgellant,frictionreducer
slurryguar,frictionreducer
non-emulsifiersurfactant,stabilizer
proppingagent,proppant
watergellingagent,frictionreducer
acidcorrosioninhibitor,inhibitor
gelbreaker,breaker
biocides,biocide
surfactants&foamers,stabilizer
cross-linkers,crosslinker
proppants-manufactured-santrol,proppant
gelbreakers,breaker
acidcorrosioninhibitors,inhibitor
sand-bulk-texas,proppant
ironcontroladditives,inhibitor
proppants-manufactured,proppant
proppants-manufactured-miscellaneous,proppant
fluid,NA
"solvent,proppant,proppant,frictionreducer,breaker,non-ionicsurfactant,crosslinker,crosslinker,buffer,activator,activator,liquidgelconcentrate,breaker",multi
micro-biocide,biocide
paraffin&scaleadditives,inhibitor
conductivityenhancer,enhancer
anti-bacterialagent,biocide
miscadditive,other
cross-linkingagent,crosslinker
breakerandflowbackadditive,breaker
surfacetensionreducer,frictionreducer
hightemp.breaker,breaker
boratecrosslinker,crosslinker
highphbuffer,buffer
resincoatedsand,proppant
defoamers,stabilizer
proppants-manufactured-momentive,proppant
fracturingfluidlossadditives,NA
"proppant,solvent,crosslinkagent,crosslinkagent,buffer,suractant,breaker,breakercatalyst,breakercatalyst,frictionreducer,gellingagent",multi
oxygenscavenger,inhibitor
intensifier,enhancer
polymer,frictionreducer
flourosurfactant,stabilizer
sand-bulk-northdakota,proppant
phcontroladditives,proppant
proppants-manufactured-carboceramics,proppant
ironreducingagent,inhibitor
defoamer,stabilizer
breakeractivator,activator
scalepreventer,inhibitor
initiator,other
scaleinhibitora,inhibitor
"proppant,proppant,solvent,crosslinkagent,crosslinkagent,buffer,surfactant,breakerbreakercatalyst,breakercatalyst,frictionreducer,gellingagent,breakercatalyst",multi
gellant,frictionreducer
slurryguar(gellingagent),frictionreducer
demulsifier,stabilizer
gelstabilizer,stabilizer
guargumslurry,frictionreducer
delayedboratecrosslinker,crosslinker
crosslinkcontrol,stabilizer
