tox_cas_edf_id,tox_chemical_name,tox_references,tox_toxicity,tox_category
100-00-5,P-NITROCHLOROBENZENE,"HAZMAP, RTECS",cardiovascular blood,suspected
100-00-5,P-NITROCHLOROBENZENE,P65,cancer,recognized
100-00-5,P-NITROCHLOROBENZENE,RTECS,gastrointestinal liver,suspected
100-00-5,P-NITROCHLOROBENZENE,RTECS,kidney,suspected
100-01-6,P-NITROANILINE,"EPA-TRI, HAZMAP, LADO, RTECS",cardiovascular blood,suspected
100-01-6,P-NITROANILINE,RTECS,neurotoxicity,suspected
100-02-7,4-NITROPHENOL,"EPA-HEN, EPA-SARA, RTECS",neurotoxicity,suspected
100-02-7,4-NITROPHENOL,"EPA-HEN, RTECS",skin sense,suspected
100-02-7,4-NITROPHENOL,HAZMAP,cardiovascular blood,suspected
100-20-9,"1,4-BENZENEDICARBONYL CHLORIDE",RTECS,neurotoxicity,suspected
100-20-9,"1,4-BENZENEDICARBONYL CHLORIDE",RTECS,respiratory,suspected
100-21-0,TEREPHTHALIC ACID,EPA-SARA,neurotoxicity,suspected
100-25-4,P-DINITROBENZENE,DAN,neurotoxicity,suspected
100-25-4,P-DINITROBENZENE,"DIPA, MALA",gastrointestinal liver,suspected
100-25-4,P-DINITROBENZENE,HAZMAP,cardiovascular blood,suspected
100-25-4,P-DINITROBENZENE,P65,reproductive,recognized
100-37-8,2-(DIETHYLAMINO)ETHANOL,HAZMAP,respiratory,suspected
100-37-8,2-(DIETHYLAMINO)ETHANOL,RTECS,gastrointestinal liver,suspected
100-37-8,2-(DIETHYLAMINO)ETHANOL,RTECS,neurotoxicity,suspected
100-37-8,2-(DIETHYLAMINO)ETHANOL,RTECS,skin sense,suspected
100-40-3,4-VINYLCYCLOHEXENE,NTP-R,reproductive,suspected
100-40-3,4-VINYLCYCLOHEXENE,P65,cancer,recognized
100-41-4,ETHYLBENZENE,"ATSDR, EPA-SARA, OEHHA-CREL",developmental,suspected
100-41-4,ETHYLBENZENE,"DAN, EPA-HEN, HAZMAP, RTECS",neurotoxicity,suspected
100-41-4,ETHYLBENZENE,"EPA-HEN, HAZMAP, RTECS",skin sense,suspected
100-41-4,ETHYLBENZENE,"EPA-HEN, RTECS",respiratory,suspected
100-41-4,ETHYLBENZENE,EPA-SARA,reproductive,suspected
100-41-4,ETHYLBENZENE,OEHHA-CREL,endocrine,suspected
100-41-4,ETHYLBENZENE,"OEHHA-CREL, RTECS",gastrointestinal liver,suspected
100-41-4,ETHYLBENZENE,"OEHHA-CREL, RTECS",kidney,suspected
100-41-4,ETHYLBENZENE,P65,cancer,recognized
100-41-4,ETHYLBENZENE,RTECS,cardiovascular blood,suspected
100-42-5,STYRENE,"ATSDR, DAN, EPA-HEN, HAZMAP, OEHHA-CREL, RTECS, STAC",neurotoxicity,suspected
100-42-5,STYRENE,"ATSDR, DIPA, EPA-HEN, RTECS",gastrointestinal liver,suspected
100-42-5,STYRENE,"BKH, IL-EPA, JNIHS, KEIT, WWF",endocrine,suspected
